Horizonte,MAE,MSE,RMSE,MAPE,BDS_pvalue_h1
1,0.0651078424898886,0.010336151695961436,0.10166686626409528,10.272404735183104,0.7199433490984672
2,0.05740204397291005,0.006743975684132382,0.08212171262298651,10.718000328496053,
3,0.058548784263154,0.006618130082729078,0.08135189046807134,10.870208559989603,
4,0.0653198357251884,0.00701494958355287,0.08375529585377195,13.015234468968192,
5,0.03524008779429338,0.00224704751814264,0.04740303279477633,6.405708118630368,
6,0.052824125382958054,0.006853953311399451,0.08278860616896175,9.413745783973749,
7,0.07626511282691224,0.024481083545969038,0.15646432036080635,13.144770344409428,
Promedio,0.05867254749361495,0.009185041631698128,0.09079310350478136,10.548581762807213,
