Horizonte,MAE,MSE,RMSE,MAPE,BDS_pvalue_h1
1,0.0779570456285441,0.032422159760430495,0.18006154436866995,12.593174931605816,0.9640894030474525
2,0.0676191317497595,0.010725422154474357,0.10356361404699219,12.297043938382107,
3,0.05332317081510004,0.005749814936217709,0.07582753415625296,10.02455230093454,
4,0.0770957046523005,0.009398077941085645,0.0969436843795698,13.713712794505085,
5,0.05691332967986345,0.006027887790181587,0.07763947314466776,11.303682084145771,
6,0.0775716652572132,0.022260653001283277,0.14920004356997782,11.226348384013125,
7,0.07699217398535693,0.017897816484092742,0.13378272117165482,11.157222541355898,
Promedio,0.06963888882401968,0.014925976009680831,0.11671694497682648,11.759390996420334,
