Horizonte,MAE,MSE,RMSE,MAPE,BDS_pvalue_h1
1,0.09622264546414928,0.048659426977448,0.22058881879516923,14.41143509303017,0.9837531640206383
2,0.07190233303682406,0.008266590383856074,0.09092079181274255,13.549643738749525,
3,0.07409098182688516,0.009713480953907927,0.09855699342973043,13.251196418215223,
4,0.08035057000368119,0.01098861133479495,0.10482657742574136,16.965064517399973,
5,0.0484154349561069,0.005017578304842849,0.070834866448966,8.230504864180475,
6,0.1374932598229107,0.06135999092531627,0.2477094889690669,22.971930470947715,
7,0.09632694151365248,0.04455104464574549,0.21107118383556173,13.683785289323424,
Promedio,0.08640030951774426,0.02693667478941594,0.14921553153099687,14.723365770263785,
