Horizonte,MAE,MSE,RMSE,MAPE,BDS_pvalue_h1
1,0.07113866913844664,0.008713232094830018,0.09334469505456654,12.857806384480885,0.31208978180527874
2,0.05732467441631281,0.00568341874562623,0.07538845233605894,10.319202342800493,
3,0.05749264338123621,0.005288696748974032,0.07272342641112306,10.804246715019335,
4,0.06682289170800704,0.009140105387906806,0.09560389839283127,13.60163497779465,
5,0.038681668243035434,0.0022070071663439763,0.04697879485836111,7.396983042647556,
6,0.08156660498781376,0.024481149650301487,0.15646453160477453,13.432070442074206,
7,0.08250345098467618,0.023004741636710863,0.15167314078870675,12.861175450931844,
Promedio,0.06507580040850401,0.011216907347241916,0.09888241992091747,11.610445622249852,
