Horizonte,MAE,MSE,RMSE,MAPE,BDS_pvalue_h1
1,0.040055737415275315,0.0027628568319180698,0.05256288454715998,7.533560000531336,0.9244531506441696
2,0.04422711935350868,0.004066115613973542,0.06376610082146737,7.748323162793562,
3,0.059914246975434175,0.010140896525737452,0.10070201847896323,9.378469764485407,
4,0.06485807764927419,0.008370913813945679,0.09149269814551148,12.582549670426468,
5,0.049014251601938154,0.004175268879439898,0.06461632053467528,9.346685740011697,
6,0.03608560101756236,0.002719678502241069,0.05215053693147434,6.655906850975783,
7,0.03602168812076723,0.002247012715645768,0.04740266570189664,6.933674346228629,
Promedio,0.047168103161965735,0.0049261061261287814,0.06752760359444976,8.597024219350413,
