Horizonte,MAE,MSE,RMSE,MAPE,BDS_pvalue_h1
1,0.03540624973648213,0.0020765022775006852,0.04556865455003785,6.515542241108653,0.2735043577885697
2,0.03664596685414524,0.004245342171636654,0.06515629034588029,5.891488554826524,
3,0.055793175254142464,0.008139257500562656,0.09021783360601526,11.313054745799574,
4,0.03943175383526106,0.0029085364061744367,0.0539308483724708,7.146203080429476,
5,0.03474413939958683,0.002472781034229455,0.04972706540938702,6.417248860552477,
6,0.027596559899157987,0.0013783197810563832,0.03712572936733208,4.822253896449111,
7,0.026164917694622234,0.001588025804963279,0.039850041467522704,4.7042118273576605,
Promedio,0.03654039466762828,0.0032583949965890786,0.054510923302663716,6.68714331521764,
