Horizonte,MAE,MSE,RMSE,MAPE,BDS_pvalue_h1
1,0.026840650220661372,0.0013742814130918378,0.03707130174531018,5.149154218546602,0.142210402547321
2,0.04453543104475724,0.003806252351078973,0.06169483245036794,7.528908449303641,
3,0.04033162499224373,0.0063725438870654415,0.07982821485581049,6.1791893319735784,
4,0.05122779880300255,0.009356439910565475,0.0967286922818947,9.539231413505915,
5,0.041930023302757795,0.003330150677921303,0.057707457732266314,7.782203333488703,
6,0.029497233842086516,0.0019341040575212238,0.04397844992176536,5.708056585230327,
7,0.025664013564239415,0.0021368577279192225,0.04622615848109404,4.708030762154643,
Promedio,0.037146682252821236,0.004044375717880497,0.060462158209787,6.656396299171916,
