Horizonte,MAE,MSE,RMSE,MAPE,BDS_pvalue_h1
1,0.046058965790233455,0.005720902356898599,0.0756366469173416,8.910222801925581,0.0038120368733828964
2,0.041704811144686445,0.0037713645306175804,0.06141143648065546,7.47734603051346,
3,0.05015575265343194,0.005986214991488496,0.07737063390905166,9.099414305649946,
4,0.05025316153346984,0.008036156661044545,0.08964461311782512,8.129569213699478,
5,0.0564126236028367,0.005106379508826342,0.07145893582209535,10.62778359714577,
6,0.039936218059391106,0.004154696112788135,0.06445693223221328,7.045009343605402,
7,0.03975988607988509,0.004887514633610639,0.0699107619298391,6.1396895364006765,
Promedio,0.046325916980562085,0.0053804612564677615,0.07284142291557451,8.20414783270576,
