Horizonte,MAE,MSE,RMSE,MAPE,BDS_pvalue_h1
1,1895.4337496416288,6203153.510768401,2490.613079297626,10.754532829243031,0.8420617783913587
2,0.02632016050012414,0.001334892469988121,0.03653618028732781,390.33507321342483,
3,0.05027738712082739,0.004505760968459086,0.06712496531439764,8.711958799138559,
4,1497.505611561067,4432959.409401386,2105.459429531091,8.62987476413271,
5,1919.0401309848044,5779793.984622885,2404.120210102416,12.11295913137801,
6,1885.6079787844037,5491395.236424786,2343.3726200552883,10.121370984134149,
7,2320.9377229071106,9341372.784899585,3056.365944205567,12.516986221317353,
Promedio,1359.8002559180907,4464096.418851099,1771.4335634767983,64.74039370610981,
