Horizonte,MAE,MSE,RMSE,MAPE,BDS_pvalue_h1
1,2463.900555442116,10906905.779797537,3302.560488438862,15.322179634934507,0.3959812453605836
2,0.022638059014579683,0.001109011901495374,0.03330183030248299,156.00592850012876,
3,0.06290355513726406,0.012738901913599637,0.11286674405510082,11.46270676489271,
4,2909.006154352362,14668704.539707197,3829.974482905493,25.345597874712556,
5,2730.589017877752,13037049.397363503,3610.685447025745,15.299143710463033,
6,3466.8690750177557,25567316.951849353,5056.413447479285,19.225513441795115,
7,2709.851156693892,16563344.77922246,4069.8089364517423,15.46031366639466,
Promedio,2040.043071571147,11534760.208826853,2838.5127101250696,36.87448337047448,
