Horizonte,MAE,MSE,RMSE,MAPE,BDS_pvalue_h1
1,2571.851573699111,11372280.152056541,3372.2811496161676,18.07968018909067,0.12161391817407531
2,0.025489290496719122,0.0012708232372499217,0.03564860778838245,397.97364798050376,
3,0.04917598252450742,0.00419801506392623,0.0647920910599915,8.514193917761013,
4,1914.4003166212724,7130760.425149426,2670.348371495642,10.740178731770483,
5,2193.722061174025,8744897.537455224,2957.1772921918673,12.500840193757709,
6,2507.7217474477225,10489865.878510041,3238.8062428169487,14.863903439655523,
7,2197.039703626721,11019816.451069275,3319.610888503241,10.915336094688817,
Promedio,1626.4014382631246,6965374.349958478,2222.6177693318164,67.65539722103257,
