Horizonte,MAE,MSE,RMSE,MAPE,BDS_pvalue_h1
1,3138.7709354440785,21725220.999872748,4661.032181810457,22.867360463027456,0.3122840958670891
2,0.026313496824377475,0.0013426156481408293,0.036641720048884566,1651.2473217154643,
3,0.08582357966569924,0.02399835050000238,0.15491401001846922,14.448583377576432,
4,2898.3650202165572,15613654.598107047,3951.4117221705774,20.8613624045256,
5,3429.4109092739177,22669656.346871298,4761.266254566247,22.496810358587336,
6,3176.8314996230815,23675871.884363957,4865.785844482261,16.365147538994133,
7,3279.5149897873193,17442233.98800602,4176.390066553413,24.985956850807266,
Promedio,2274.7150702030635,14446662.548937436,3202.296803616146,253.32464895842602,
