Horizonte,MAE,MSE,RMSE,MAPE,BDS_pvalue_h1
1,2721.5895787717586,15075103.618687872,3882.667075437691,16.11424169132721,0.7756048253493135
2,0.021074737029649623,0.000955740012238326,0.03091504507902788,168.9609785978133,
3,0.05981708412583549,0.006680483297002118,0.08173422353581221,11.998276907776617,
4,2364.8190444250276,10871738.734610636,3297.2319807090666,17.233649171313196,
5,2384.520936579119,11270880.340272743,3357.213180641459,13.90450072679433,
6,3503.0282469846497,19424993.269682378,4407.379410679591,29.064058114541496,
7,2858.674035087719,12156033.773991242,3486.5504117954815,20.17000450497458,
Promedio,1976.1018190956327,9828392.820697298,2633.0221012188435,39.63510138779153,
