Horizonte,MAE,MSE,RMSE,MAPE,BDS_pvalue_h1
1,3030.433522906387,18116538.862365965,4256.3527652634675,16.022212482288868,0.3097691718010657
2,0.027508760014822664,0.0018593173414248802,0.04311980219603147,142.44054094916063,
3,0.0753200132637029,0.010395654556130693,0.10195908275445936,13.53024081119135,
4,3016.288361773574,17509625.496220537,4184.450441362705,20.07700483789213,
5,4315.943281164336,29971328.895118106,5474.607647596136,30.67387575589046,
6,4035.1576242975602,28592274.368640617,5347.1744284846945,25.231274560081964,
7,3675.461941988761,27870806.54247918,5279.280873611403,24.200708492174,
Promedio,2581.912508700557,17437224.88243991,3506.001605029051,38.882265412668495,
