Horizonte,MAE,MSE,RMSE,MAPE,BDS_pvalue_h1
1,3233.5903460800437,17235550.358477198,4151.572034600532,20.02559071576206,0.043771008817923195
2,0.02250287270990466,0.0010763872761397502,0.03280834156338522,146.45565277206947,
3,0.07755753752457883,0.016758614682437712,0.12945506819911576,13.033651800575175,
4,3390.903815789474,21078125.703135874,4591.091994627844,23.06993837943054,
5,3150.9337918037286,19672488.001186736,4435.367854100349,19.732069882519912,
6,3849.734241536458,26806000.7078605,5177.451178703716,23.6679204371056,
7,3173.5185036321272,35694451.98120763,5974.483407057687,21.577168141399255,
Promedio,2399.825822750295,17212373.824243277,3475.7326760714127,38.22314173269457,
