n_lag,RMSE_prom,RMSE_std,MAE_prom,MAPE_prom,MSE_prom,BDS_pvalue_h1_prom
7,0.0653620285292494,0.013288186593833238,0.041183018285469664,7.329915033374663,0.004664249090149319,0.5273263039001319
14,0.06583246556450464,0.012181223033174527,0.0447737927390848,7.851902865487129,0.004800847685755688,0.7155261508560219
21,0.10604763648337773,0.03354886657513517,0.0670835432449155,11.853535725588324,0.013734273648461836,0.5627578884701756
28,0.09130162617877667,0.021816367508447104,0.06738601578958058,12.319823304439623,0.00922912879662138,0.6255819870342657
