Horizonte,MAE,MSE,RMSE,MAPE,BDS_pvalue_h1
1,3861.0845261423215,37547988.955470316,6127.641386004106,35.55088004490245,0.008995412824131016
2,0.021012392710696354,0.0008379067398795504,0.028946618798739696,268.1889216410019,
3,0.0693824028162122,0.009064884074865304,0.09520968477452965,13.258544201711588,
4,3257.320415296052,18921464.824076053,4349.88101263426,25.145508438389097,
5,4006.284281969571,28357430.54921152,5325.169532438524,24.280614605543978,
6,3412.364702919409,21920604.68160309,4681.944540637265,23.429817255008913,
7,3868.3084549753294,27187811.81454476,5214.193304294036,28.308608338788094,
Promedio,2629.3503965854584,19133614.404972646,3671.279133187395,59.73755636076371,
