n_lag,RMSE_prom,RMSE_std,MAE_prom,MAPE_prom,MSE_prom,BDS_pvalue_h1_prom
7,2208.2823849895376,1413.4237554103663,1615.2905032938133,55.326413920313016,7168180.319373518,0.45128057997919
14,3292.791439827131,2094.2153593655116,2370.5568161080214,90.5121339341147,15604216.485321378,0.38205931946130645
21,3516.8723767495803,2243.514903318692,2563.9706191524383,48.764169470646536,17810651.214454982,0.4941526677743213
28,3786.3656591744602,2434.557203395307,2851.605576898689,60.24698390864095,20841632.305916525,0.41612902859071266
