Horizonte,MAE,MSE,RMSE,MAPE,BDS_pvalue_h1
1,0.055754709830659215,0.007501983529997336,0.0866139915371491,9.510813772880521,0.1444715644133209
2,0.05133542160653299,0.004167112689197339,0.06455317722000474,8.38530592146309,
3,0.05865348154310902,0.00567722749394923,0.0753473788127313,11.802276306941765,
4,0.048318988674918587,0.004614444584612011,0.06792970325720561,9.176948654708903,
5,0.06898602918233074,0.009265378745244348,0.096256837394776,12.332537983012124,
6,0.08247019952242686,0.010966459232567869,0.10472086340633308,14.554657810728791,
7,0.06977824761212893,0.008448617912683308,0.09191636368287916,12.79429444590097,
Promedio,0.06218529685315804,0.007234460598321634,0.08390547361586843,11.22240498509088,
