Horizonte,MAE,MSE,RMSE,MAPE,BDS_pvalue_h1
1,0.09856470603820576,0.01717536214740915,0.13105480589207383,17.295720059675226,0.6153989157671537
2,0.07518593877416084,0.012168677159976762,0.11031172720965238,11.24895886239564,
3,0.037488169368035874,0.0020288629116383262,0.045042900790672066,7.286609468513683,
4,0.051847810445882554,0.003847183045175978,0.06202566440737236,10.174272274961778,
5,0.05987705724833819,0.006241734271103617,0.07900464714878244,12.033740407602398,
6,0.08854185536326917,0.011589930209382515,0.10765653816365504,16.22047405901099,
7,0.06575371382038256,0.007380763246616548,0.08591136855280881,11.74506631868712,
Promedio,0.06817989300832498,0.0086332161416147,0.08871537888071669,12.286405921549548,
