Horizonte,MAE,MSE,RMSE,MAPE,BDS_pvalue_h1
1,0.06451947407542619,0.012103074723030944,0.1100139751260309,10.27716508267452,0.9773271786913998
2,0.052153923550903425,0.004056438391956906,0.06369017500334652,10.134229290396734,
3,0.04660511566516543,0.007130843803757604,0.08444432369175328,7.01413341236886,
4,0.05189818998513475,0.005107881638774752,0.07146944549088619,7.967995736342711,
5,0.07099666067282788,0.008105641151883856,0.09003133427803821,11.861717887809272,
6,0.053076975828451084,0.007420630714162419,0.08614308279927309,8.490913448795432,
7,0.07113818403940933,0.02088989115324894,0.1445333565418341,10.930182104164441,
Promedio,0.05862693197390258,0.009259200225259346,0.09290367041873747,9.525190994650282,
