Horizonte,MAE,MSE,RMSE,MAPE,BDS_pvalue_h1
1,0.08171167332960763,0.009564536307981352,0.09779844736999331,14.655980173901591,0.8064781768019567
2,0.05150698976527548,0.004922907430249826,0.0701634337119402,7.833899571632305,
3,0.05452760578129766,0.005172983587717531,0.07192345645001727,14.39648618816113,
4,0.045017418577510494,0.003360949328448856,0.057973695142269965,8.445344934385563,
5,0.07949081395172507,0.011951005035122891,0.10932065237238063,14.41987932211412,
6,0.059340644650564704,0.0050229027706910285,0.07087244013501319,11.185952180752198,
7,0.07066502462524245,0.008344961226591913,0.09135075931042891,11.582157850762217,
Promedio,0.06318002438303193,0.006905749383829056,0.08134326921314908,11.788528603101303,
