Horizonte,MAE,MSE,RMSE,MAPE,BDS_pvalue_h1
1,0.03781109579375441,0.0050124938359504346,0.07079896776048669,6.202641884647572,0.8443107142443242
2,0.028294406677062844,0.001260052892484291,0.03549722372924805,5.244955130046989,
3,0.04338932991674936,0.003150467462541625,0.05612902513443134,7.719710256329396,
4,0.052653426877557745,0.003947846693054006,0.06283189232431255,8.98154315350491,
5,0.05734243761037761,0.006393878775064697,0.07996173319197562,10.725668334837888,
6,0.042419504930469476,0.005791503768403291,0.07610193012271955,7.34973869302592,
7,0.04071387843364698,0.0038244813450065795,0.06184239116501382,6.822726298095507,
Promedio,0.04323201146280264,0.004197246396072132,0.06330902334688394,7.5781405357840255,
