Horizonte,MAE,MSE,RMSE,MAPE,BDS_pvalue_h1
1,0.03473297220463239,0.0019751657389207177,0.04444283675600285,6.356004003566658,0.2670260805064777
2,0.03635717222074828,0.002143008896050307,0.04629264408143379,6.659095909307203,
3,0.046827801498229515,0.0040240032375044605,0.06343503162688942,7.789386672108235,
4,0.052868216792190434,0.00490182175641955,0.07001301133660479,8.073615373351732,
5,0.05677321619555827,0.005867522004488154,0.07659975198711909,11.04742061431822,
6,0.03875658546066226,0.002992689332973688,0.054705478089252524,6.66385129501417,
7,0.03636193008203821,0.0019155063002166454,0.04376649746343252,6.922319697382176,
Promedio,0.04323969920772276,0.0034028167523676455,0.057036464477247854,7.644527652149771,
