Horizonte,MAE,MSE,RMSE,MAPE,BDS_pvalue_h1
1,0.04047754955619254,0.002613358881619606,0.05112102191486009,7.0893979753003284,0.7309500588191589
2,0.0419964263352864,0.003172560807363281,0.05632548985462338,6.879242139967985,
3,0.04805923008765393,0.003820480446517573,0.06181003516030041,8.361545389113337,
4,0.06509797080856919,0.00945166994721632,0.0972196993783478,9.891706845012669,
5,0.07129796818467746,0.011380421429157694,0.10667905806275987,11.796784650986838,
6,0.039744665985212854,0.002583404876440448,0.05082720606565393,6.897184399027538,
7,0.05268092395916912,0.004622529869475494,0.06798918935739338,10.040534577855349,
Promedio,0.0513363907023945,0.005377775179684345,0.07028167139913412,8.708056568180577,
