Horizonte,MAE,MSE,RMSE,MAPE,BDS_pvalue_h1
1,0.042097744291164516,0.005325102106020196,0.07297329721220082,7.003447412505921,0.8342902284984159
2,0.03624065887788915,0.0040650148501898044,0.06375746897571927,5.71013528691802,
3,0.03899620815536358,0.002381415729814453,0.04879975132943254,7.047997516585726,
4,0.04566731655859459,0.0036079045175017497,0.06006583486060732,7.295221500484876,
5,0.056422398268308395,0.008287297444458342,0.0910345947673649,10.103896686830636,
6,0.03726990879406501,0.0030622729953328526,0.05533780800983043,6.563032483670078,
7,0.03963076395539715,0.003320166144191732,0.057620882882785926,7.071829210735396,
Promedio,0.04233214270011177,0.0042927391125013046,0.06422709114827732,7.256508585390094,
