Horizonte,MAE,MSE,RMSE,MAPE,BDS_pvalue_h1
1,3390.4348474542026,19351278.93091322,4399.008857789811,21.836590201474714,0.37901339679054014
2,0.03142130206555544,0.002085057104643823,0.0456624255230033,128.71922266724215,
3,0.10904471541650453,0.027390902038571932,0.16550196989332766,18.84300364729013,
4,5409.477348127694,51496300.552710995,7176.09228986856,34.251611260541274,
5,4675.8223245554955,42686828.602602586,6533.515791869075,26.237284864745863,
6,2808.5808475889007,11887959.971202135,3447.8921055047726,26.622575156800455,
7,5976.775691002155,51719708.86467406,7191.641597345773,40.501831548995284,
Promedio,3180.1759321065615,25306010.99308271,4106.908829539058,42.43030276386998,
