Horizonte,MAE,MSE,RMSE,MAPE,BDS_pvalue_h1
1,4006.7605738146553,26776022.594069835,5174.555303991816,28.44443658731233,0.7457953444678931
2,0.018928879259599594,0.0007860383022282613,0.028036374627049433,159.26533430590993,
3,0.09470363316036247,0.022211108118498416,0.14903391600068225,14.684017605799138,
4,4429.451739459859,28860093.654978145,5372.1591241304595,25.109386492721537,
5,3571.9496827855605,25336770.632162146,5033.564406279326,24.687273486240045,
6,2292.871117658944,12489700.896552604,3534.077092615921,16.899919241102857,
7,4297.803273168104,27156208.81554603,5211.161944858942,23.309130355023864,
Promedio,2656.99285991422,17231256.659472276,3475.0992774524416,41.771356867729956,
