Horizonte,MAE,MSE,RMSE,MAPE,BDS_pvalue_h1
1,3229.1171760506463,15750574.541890943,3968.6993514111073,20.74910779829753,0.08384138187350341
2,0.026232827232091166,0.0010423959009962457,0.03228615649154055,234.01980901476094,
3,0.09308034061450375,0.018148313961449246,0.13471567823178282,14.789034066218983,
4,3659.2926050646556,30968031.868818846,5564.892799400438,27.420348216961195,
5,4306.328826778017,30518821.135714363,5524.384231361389,37.21232362903505,
6,3155.870602101292,21730525.21108074,4661.601142427432,22.135825442874392,
7,3952.6634927262926,24649519.2264151,4964.828217211055,28.15804595756565,
Promedio,2614.7702879841077,17659638.857587244,3526.367534806592,54.926356303673394,
