Horizonte,MAE,MSE,RMSE,MAPE,BDS_pvalue_h1
1,3151.774954876077,18003216.758854277,4243.019768850279,22.93311379718092,0.18250707115911405
2,0.02101908491679978,0.000712972264305715,0.02670154048562957,210.2564437486745,
3,0.0869745296753,0.017626836089590488,0.1327660954068865,14.17371929002019,
4,3564.3947625942883,21475232.70859659,4634.137752440748,28.849619915941638,
5,4205.03890086207,39114066.87000866,6254.1239890178595,26.329268637533694,
6,4141.851472252156,38905752.4296884,6237.4475893339895,36.26548179127857,
7,4450.306737944505,31424363.135879643,5605.743762952392,23.599832096373703,
Promedio,2787.639260306241,21274661.703052483,3853.518904318737,51.77249703957188,
