Horizonte,MAE,MSE,RMSE,MAPE,BDS_pvalue_h1
1,4291.845467234645,46998334.80605196,6855.533152574784,16.5986841222716,0.6894879486625127
2,0.030253065698982194,0.0020993345720280937,0.04581849595990787,617.6198485533848,
3,0.14068757499538828,0.05682429091228877,0.23837846151086883,19.687645843851747,
4,3669.884490840517,18791099.417945825,4334.870173136195,26.481716914041808,
5,4348.545985907194,31221168.6698347,5587.590596118751,25.25890226846363,
6,3464.551102757948,21468182.06348825,4633.3769610823,24.442380411321547,
7,5354.148821895205,40677368.198471025,6377.8811684187895,42.25166786518154,
Promedio,3018.4495441823155,22736593.31638791,3969.93374975547,110.33440656835954,
